artist_name,album_name,album_type,release_date,total_tracks,album_uri,name,duration_ms,explicit,track_number,popularity,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,track_uri
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,dreams come true,225560,False,13,43,0.38,0.552,0.668,6,-4.345,0,0.0477,0.145,0.0,0.145,97.964,4,spotify:track:4wmrFwPfSRYzC2buKIqal3
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,cherry bomb - live,351320,False,1,30,0.437,0.552,0.937,6,-5.155,0,0.336,0.00105,0.000754,0.895,78.008,4,spotify:track:71BHcpB7pR6G65OczAlz0l
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,come back - live,208586,False,2,25,0.421,0.678,0.925,0,-4.318,1,0.173,0.0512,0.0,0.849,112.057,4,spotify:track:3MLrTJDW274WTiJOj5Ibhy
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,limitless - live,278960,False,3,29,0.386,0.538,0.882,0,-5.079,1,0.0668,0.00715,1.4e-05,0.741,78.538,4,spotify:track:3ei0DFv0K3sEf67lKwKeAf
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,"chain - korean version, live",273906,False,4,25,0.533,0.638,0.966,10,-3.877,0,0.0972,0.0231,3.23e-05,0.751,140.013,4,spotify:track:1tnKA5JirpCnjKvcDDrKWR
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,fly away with me - live,209546,False,5,26,0.308,0.499,0.813,5,-5.396,0,0.0455,0.0351,1.23e-05,0.625,88.915,4,spotify:track:3ieV4TxCBT7lo66j3IF1v4
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,back 2 u (am 01:27) - live,238573,False,6,37,0.3,0.611,0.821,10,-5.093,1,0.0856,0.558,0.0,0.529,105.045,4,spotify:track:0HDlGfIAelHpZTkvSSGiVR
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,city 127 - live,176506,False,7,26,0.61,0.664,0.622,10,-5.05,1,0.0305,0.24,0.0,0.295,98.069,4,spotify:track:5BLeVIts8ZKiDLUI1UuUI9
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,angel - live,284053,False,8,27,0.414,0.659,0.783,1,-6.988,0,0.111,0.65,0.0,0.847,104.968,4,spotify:track:6g7MWckZhUDZAIaYvHN8Xk
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,sun & moon - live,159306,False,9,29,0.334,0.558,0.52,1,-9.621,1,0.0649,0.556,8.78e-05,0.677,98.844,4,spotify:track:7EMTZ6WtKoSetlTI4s5jsh
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,timeless - live,252040,False,10,28,0.169,0.524,0.492,1,-5.362,1,0.0293,0.495,0.0,0.385,127.891,4,spotify:track:5tBS1ztKBw7PT3CQS47w1x
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,no longer - live,297278,False,11,36,0.258,0.415,0.384,1,-6.251,1,0.0332,0.744,0.0,0.237,160.003,4,spotify:track:2bab6nwB33Enj7wUYVPu3m
